2024-12-29 13:43:00, Close: 94902.59, PredictedChange:, -0.0167, PredictedValue:, 94918.42, Signal: Hold 
2024-12-29 13:44:00, Close: 94891.57, PredictedChange:, -0.0138, PredictedValue:, 94904.70, Signal: Hold 
2024-12-29 13:45:00, Close: 94891.58, PredictedChange:, 0.0082, PredictedValue:, 94883.78, Signal: Hold 
2024-12-29 13:46:00, Close: 94913.62, PredictedChange:, -0.0034, PredictedValue:, 94916.87, Signal: Hold 
2024-12-29 13:47:00, Close: 94966.31, PredictedChange:, -0.0518, PredictedValue:, 95015.47, Signal: Hold 
2024-12-29 13:48:00, Close: 94914.24, PredictedChange:, 0.0306, PredictedValue:, 94885.24, Signal: Hold 
2024-12-29 13:49:00, Close: 94936.79, PredictedChange:, -0.0041, PredictedValue:, 94940.72, Signal: Hold 
2024-12-29 13:50:00, Close: 94892.14, PredictedChange:, 0.0265, PredictedValue:, 94867.01, Signal: Hold 
2024-12-29 13:51:00, Close: 94909.62, PredictedChange:, -0.0599, PredictedValue:, 94966.49, Signal: Hold 
2024-12-29 13:52:00, Close: 94936.80, PredictedChange:, -0.0755, PredictedValue:, 95008.45, Signal: Hold 
2024-12-29 13:53:00, Close: 94936.80, PredictedChange:, -0.0369, PredictedValue:, 94971.87, Signal: Hold 
2024-12-29 13:54:00, Close: 94931.57, PredictedChange:, -0.0422, PredictedValue:, 94971.62, Signal: Hold 
2024-12-29 13:55:00, Close: 94952.01, PredictedChange:, -0.0636, PredictedValue:, 95012.44, Signal: Hold 
2024-12-29 13:56:00, Close: 94930.13, PredictedChange:, -0.0179, PredictedValue:, 94947.09, Signal: Hold 
2024-12-29 13:57:00, Close: 94909.95, PredictedChange:, 0.0597, PredictedValue:, 94853.31, Signal: Hold 
2024-12-29 13:58:00, Close: 94916.32, PredictedChange:, -0.0031, PredictedValue:, 94919.30, Signal: Hold 
2024-12-29 13:59:00, Close: 94928.21, PredictedChange:, 0.0076, PredictedValue:, 94921.04, Signal: Hold 
2024-12-29 14:00:00, Close: 94917.97, PredictedChange:, -0.0259, PredictedValue:, 94942.53, Signal: Hold 
2024-12-29 14:01:00, Close: 94995.30, PredictedChange:, -0.0901, PredictedValue:, 95080.91, Signal: Hold 
2024-12-29 14:02:00, Close: 95140.00, PredictedChange:, -0.2132, PredictedValue:, 95342.86, Signal: Buy 
2024-12-29 14:03:00, Close: 95108.07, PredictedChange:, -0.1796, PredictedValue:, 95278.92, Signal: Buy 
2024-12-29 14:04:00, Close: 95189.44, PredictedChange:, -0.2733, PredictedValue:, 95449.57, Signal: Buy 
2024-12-29 14:05:00, Close: 95200.57, PredictedChange:, -0.2651, PredictedValue:, 95452.96, Signal: Buy 
2024-12-29 14:06:00, Close: 95231.57, PredictedChange:, -0.3157, PredictedValue:, 95532.23, Signal: Buy 
2024-12-29 14:07:00, Close: 95132.01, PredictedChange:, -0.2338, PredictedValue:, 95354.38, Signal: Buy 
2024-12-29 14:08:00, Close: 95073.89, PredictedChange:, -0.1670, PredictedValue:, 95232.62, Signal: Buy 
2024-12-29 14:09:00, Close: 95032.70, PredictedChange:, -0.1101, PredictedValue:, 95137.32, Signal: Hold 
2024-12-29 14:10:00, Close: 95108.20, PredictedChange:, -0.2000, PredictedValue:, 95298.45, Signal: Buy 
2024-12-29 14:11:00, Close: 95052.00, PredictedChange:, -0.0597, PredictedValue:, 95108.76, Signal: Hold 
2024-12-29 14:12:00, Close: 94997.10, PredictedChange:, 0.1490, PredictedValue:, 94855.51, Signal: Sell 
2024-12-29 14:13:00, Close: 95018.00, PredictedChange:, 0.0935, PredictedValue:, 94929.12, Signal: Sell 
2024-12-29 14:14:00, Close: 94987.51, PredictedChange:, 0.2096, PredictedValue:, 94788.46, Signal: Sell 
2024-12-29 14:15:00, Close: 94900.01, PredictedChange:, 0.3120, PredictedValue:, 94603.96, Signal: Sell 
2024-12-29 14:16:00, Close: 94800.01, PredictedChange:, 0.4494, PredictedValue:, 94373.99, Signal: Sell 
2024-12-29 14:17:00, Close: 94739.99, PredictedChange:, 0.4141, PredictedValue:, 94347.68, Signal: Sell 
2024-12-29 14:18:00, Close: 94695.09, PredictedChange:, 0.3999, PredictedValue:, 94316.42, Signal: Sell 
2024-12-29 14:19:00, Close: 94698.83, PredictedChange:, 0.3571, PredictedValue:, 94360.63, Signal: Sell 
2024-12-29 14:20:00, Close: 94681.26, PredictedChange:, 0.4474, PredictedValue:, 94257.70, Signal: Sell 
2024-12-29 14:21:00, Close: 94687.20, PredictedChange:, 0.3816, PredictedValue:, 94325.85, Signal: Sell 
2024-12-29 14:22:00, Close: 94714.08, PredictedChange:, 0.3021, PredictedValue:, 94427.94, Signal: Sell 
2024-12-29 14:23:00, Close: 94695.33, PredictedChange:, 0.3403, PredictedValue:, 94373.11, Signal: Sell 
2024-12-29 14:24:00, Close: 94612.01, PredictedChange:, 0.3935, PredictedValue:, 94239.73, Signal: Sell 
2024-12-29 14:25:00, Close: 94612.02, PredictedChange:, 0.3046, PredictedValue:, 94323.87, Signal: Sell 
2024-12-29 14:26:00, Close: 94568.44, PredictedChange:, 0.2470, PredictedValue:, 94334.90, Signal: Sell 
2024-12-29 14:27:00, Close: 94566.73, PredictedChange:, 0.1851, PredictedValue:, 94391.66, Signal: Sell 
2024-12-29 14:28:00, Close: 94648.83, PredictedChange:, 0.0482, PredictedValue:, 94603.17, Signal: Hold 
2024-12-29 14:31:00, Close: 94391.86, PredictedChange:, 0.3262, PredictedValue:, 94084.00, Signal: Sell 
2024-12-29 14:32:00, Close: 94258.20, PredictedChange:, 0.4481, PredictedValue:, 93835.87, Signal: Sell 
2024-12-29 14:33:00, Close: 94088.84, PredictedChange:, 0.6357, PredictedValue:, 93490.75, Signal: Sell 
2024-12-29 14:34:00, Close: 94151.55, PredictedChange:, 0.5852, PredictedValue:, 93600.55, Signal: Sell 
2024-12-29 14:35:00, Close: 94199.73, PredictedChange:, 0.5256, PredictedValue:, 93704.64, Signal: Sell 
2024-12-29 14:36:00, Close: 94263.90, PredictedChange:, 0.3623, PredictedValue:, 93922.34, Signal: Sell 
2024-12-29 14:37:00, Close: 94228.51, PredictedChange:, 0.4070, PredictedValue:, 93844.96, Signal: Sell 
2024-12-29 14:38:00, Close: 94226.40, PredictedChange:, 0.3640, PredictedValue:, 93883.46, Signal: Sell 
2024-12-29 14:39:00, Close: 94220.02, PredictedChange:, 0.3708, PredictedValue:, 93870.64, Signal: Sell 
2024-12-29 14:40:00, Close: 94235.11, PredictedChange:, 0.4330, PredictedValue:, 93827.11, Signal: Sell 
2024-12-29 14:41:00, Close: 94192.91, PredictedChange:, 0.2132, PredictedValue:, 93992.11, Signal: Sell 
2024-12-29 14:42:00, Close: 94213.45, PredictedChange:, 0.0502, PredictedValue:, 94166.17, Signal: Hold 
2024-12-29 14:43:00, Close: 94216.25, PredictedChange:, -0.1349, PredictedValue:, 94343.33, Signal: Hold 
2024-12-29 14:44:00, Close: 94226.94, PredictedChange:, -0.0738, PredictedValue:, 94296.52, Signal: Hold 
2024-12-29 14:45:00, Close: 94228.71, PredictedChange:, -0.0271, PredictedValue:, 94254.23, Signal: Hold 
2024-12-29 14:46:00, Close: 94288.11, PredictedChange:, -0.0265, PredictedValue:, 94313.14, Signal: Hold 
2024-12-29 14:47:00, Close: 94370.25, PredictedChange:, -0.1515, PredictedValue:, 94513.24, Signal: Buy 
